,0
624,ROCK1
625,DCP2
626,C1QA
627,BPIFA1
628,FBXO11
629,UQCRC1
630,TBX2
631,ZMYND10
632,SRD5A3
633,EIF2AK2
634,XDH
635,ZDHHC20
636,UBXN1
637,SLC43A2
638,TPST2
639,OSR1
640,C9orf78
641,CHCHD10
642,SMARCD1
643,PRELID1
644,ABCC1
645,EIF2B2
646,STAT1
647,IL18BP
648,FHL5
649,DKK1
650,SNRK
651,ZC3H18
652,FKBP2
653,VCP
654,TMEM213
655,MT1H
656,TSC2
657,POMC
658,BRD4
659,INPP5A
660,TBC1D1
661,ZNF598
662,ARL4C
663,RILP
664,PDE10A
665,ZNF532
666,STRA6
667,LDB2
668,CDH11
669,ATP2A3
670,ECE2
671,SHISA2
672,POU2F3
673,PRKCZ
674,ATAD2
675,AGTRAP
676,CMTM3
677,OSBP
678,ACAD8
679,KCNE3
680,RPS6KA3
681,NEK2
682,PCBP1
683,HIST1H2AH
684,FOXD1
685,YY1
686,GFM2
687,AOC2
688,FBN3
689,MANBA
690,ESR1
691,MTG2
692,ALDH3A1
693,CRIP1
694,SIRPB1
695,CASP4
696,NCALD
697,GOT1
698,LGALS1
699,POLR1D
700,SMTNL1
701,MAN2B1
702,SEZ6L
703,RAN
704,RAB5A
705,CLEC4E
706,PHGDH
707,CDK1
708,YME1L1
709,ERP27
710,KLHL20
711,EFHC1
712,CEP104
713,NKD2
714,CRIP3
715,PTS
716,RPRD2
717,ABCF2
718,EIF3L
719,APEX1
720,SLC39A10
721,HIST1H3I
722,LFNG
723,RAC2
724,TARBP2
725,ZFAND2A
726,CFL2
727,TNFAIP3
728,HSPD1
729,KPNA4
730,AP1G2
731,SSBP1
732,NUDT11
733,ZFHX3
734,DACT1
735,CIZ1
736,FUCA2
737,C1RL
738,ECE1
739,CXCL11
740,SPTAN1
741,NSMCE1
742,RNPS1
743,EYA2
744,SLC30A7
745,UQCC1
746,PRPF19
747,LRP8
748,FMO5
749,GREM1
750,GZMK
751,FOXL1
752,SEC24D
753,NLRC5
754,RNF25
755,P4HTM
756,ECM1
757,TUBA1C
758,SCYL2
759,CD96
760,TP53BP1
761,LY86
762,CHRNA5
763,TOMM34
764,NRN1
765,MPRIP
766,RXRA
767,AKR1C1
768,RIMKLA
769,MMP11
770,WWTR1
771,LSM14A
772,APEX2
773,HHIP
774,TMEM214
775,CYP4B1
776,POMT1
777,PMAIP1
778,RANBP10
779,TOP2B
780,GINS2
781,MFN1
782,NPNT
783,HDAC6
784,TMEM164
785,PTP4A3
786,RTN1
787,RPAIN
788,TP53INP1
789,CREB3L3
790,BMP7
791,TMEM38B
792,SPDYC
793,TXNDC11
794,SRXN1
795,STARD13
796,ATP1B3
797,TLR1
798,PGLYRP4
799,MOB1A
800,GOSR2
801,P3H3
802,ATP4B
803,PSMB8
804,PSMA4
805,RPS4X
806,TRAPPC1
807,EPB41L4B
808,TNRC6B
809,IFNE
810,MRPS33
811,SIPA1L1
812,BRD3
813,SP6
814,COPG2
815,VIPR1
816,P2RY12
817,SPTSSA
818,AGO4
819,SAAL1
820,SETD7
821,SLIT2
822,DHX33
823,DCK
824,ZNF146
825,ATG4C
826,PIAS1
827,BCS1L
828,SLBP
829,WDR77
830,MYPN
831,CHCHD1
832,RPA3
833,KCTD18
834,THOC3
835,CARHSP1
836,CA4
837,CRTAC1
838,XXYLT1
839,SV2B
840,MCOLN1
841,FREM2
842,HSD17B4
843,STRN4
844,TMPRSS3
845,KLF16
846,ARSE
847,TSPAN3
848,NLRP1
849,SLC9A7
850,VPS36
851,DUSP4
852,ID4
853,PAWR
854,SLC37A3
855,CRTAP
856,ARFGAP1
857,LRP1
858,SUSD1
859,DDR2
860,FUT8
861,SLC25A5
862,KLC4
863,PIGC
864,KLK7
865,SLC5A3
866,S100B
867,ADAM8
868,TSPAN18
869,PTPMT1
870,KLHL9
871,ENO1
872,DGKQ
873,SLC2A6
874,HMGCS2
875,VHL
876,KMT2E
877,ASAP3
878,IRF4
879,CLEC4A
880,ATP8B2
881,TMEM167A
882,SLAMF7
883,KLF4
884,NAV2
885,ACBD5
886,DGCR2
887,ENO2
888,SEPT7
889,PHF12
890,KIAA2013
891,ANKRD34A
892,AGPAT1
893,TRPC6
894,CHMP1A
895,PXMP2
896,HTR1D
897,LTK
898,SLC39A11
899,FAM172A
900,GANAB
901,GLP1R
902,PPP1R12A
903,NOL3
904,MORC2
905,ALOX5AP
906,CLMP
907,HIST3H2BB
908,TREM1
909,HMGCL
910,ARNTL
911,BRINP3
912,EPHA7
913,SRRM2
914,CSF1
915,MFSD12
916,FLT1
917,LGALS8
918,IFITM1
919,RAI14
920,GLT8D2
921,IRF2BPL
922,MYO1D
923,PC
924,MSL1
925,SHROOM3
926,DCAF13
927,HK1
928,CDC42SE2
929,FKBP10
930,VARS2
931,NAALADL2
932,ZNF100
933,ATP1A1
934,PROC
935,RRP9
936,RHBDF2
937,CBX1
938,PLOD3
939,GALM
940,ACADSB
941,ILF3
942,HLA-A
943,FASTK
944,HTRA3
945,PLAGL2
946,CAMKK2
947,MFSD9
948,DARS2
949,SMAD6
950,ATF7IP2
951,SLC27A4
952,CCDC51
953,RRAGD
954,VPS9D1
955,RHEBL1
956,TMEM179B
957,TAF8
958,FABP5
959,S100A6
