,TCGA,miRTarBase
1233,hsa-mir-6836,hsa-miR-6836-5p
1234,hsa-mir-6837,hsa-miR-6837-5p
1235,hsa-mir-6838,hsa-miR-6838-5p
1236,hsa-mir-6839,hsa-miR-6839-5p
1237,hsa-mir-6840,hsa-miR-6840-5p
1238,hsa-mir-6841,hsa-miR-6841-3p
1239,hsa-mir-6842,hsa-miR-6842-5p
1240,hsa-mir-6843,hsa-miR-6843-3p
1241,hsa-mir-6844,hsa-miR-6844
1242,hsa-mir-6845,hsa-miR-6845-3p
1243,hsa-mir-6846,hsa-miR-6846-5p
1244,hsa-mir-6847,hsa-miR-6847-5p
1245,hsa-mir-6848,hsa-miR-6848-3p
1246,hsa-mir-6849,hsa-miR-6849-3p
1247,hsa-mir-6850,hsa-miR-6850-5p
1248,hsa-mir-6851,hsa-miR-6851-3p
1249,hsa-mir-6852,hsa-miR-6852-3p
1250,hsa-mir-6853,hsa-miR-6853-3p
1251,hsa-mir-6854,hsa-miR-6854-3p
1252,hsa-mir-6855,hsa-miR-6855-3p
1253,hsa-mir-6856,hsa-miR-6856-3p
1254,hsa-mir-6857,hsa-miR-6857-5p
1255,hsa-mir-6858,hsa-miR-6858-5p
1256,hsa-mir-6860,hsa-miR-6860
1257,hsa-mir-6861,hsa-miR-6861-5p
1258,hsa-mir-6863,hsa-miR-6863
1259,hsa-mir-6864,hsa-miR-6864-3p
1260,hsa-mir-6865,hsa-miR-6865-5p
1261,hsa-mir-6866,hsa-miR-6866-5p
1262,hsa-mir-6867,hsa-miR-6867-3p
1263,hsa-mir-6868,hsa-miR-6868-5p
1264,hsa-mir-6869,hsa-miR-6869-3p
1265,hsa-mir-6870,hsa-miR-6870-3p
1266,hsa-mir-6871,hsa-miR-6871-5p
1267,hsa-mir-6872,hsa-miR-6872-3p
1268,hsa-mir-6873,hsa-miR-6873-5p
1269,hsa-mir-6874,hsa-miR-6874-3p
1270,hsa-mir-6875,hsa-miR-6875-3p
1271,hsa-mir-6876,hsa-miR-6876-5p
1272,hsa-mir-6877,hsa-miR-6877-3p
1273,hsa-mir-6878,hsa-miR-6878-5p
1274,hsa-mir-6879,hsa-miR-6879-5p
1275,hsa-mir-6880,hsa-miR-6880-3p
1276,hsa-mir-6881,hsa-miR-6881-3p
1277,hsa-mir-6882,hsa-miR-6882-5p
1278,hsa-mir-6883,hsa-miR-6883-3p
1279,hsa-mir-6884,hsa-miR-6884-3p
1280,hsa-mir-6885,hsa-miR-6885-5p
1281,hsa-mir-6886,hsa-miR-6886-5p
1282,hsa-mir-6887,hsa-miR-6887-5p
1283,hsa-mir-6888,hsa-miR-6888-3p
1284,hsa-mir-6889,hsa-miR-6889-5p
1285,hsa-mir-6890,hsa-miR-6890-3p
1286,hsa-mir-6891,hsa-miR-6891-3p
1287,hsa-mir-6892,hsa-miR-6892-5p
1288,hsa-mir-6893,hsa-miR-6893-3p
1289,hsa-mir-6894,hsa-miR-6894-5p
1290,hsa-mir-6895,hsa-miR-6895-5p
1291,hsa-mir-7-2,hsa-miR-7-2-3p
1292,hsa-mir-708,hsa-miR-708-5p
1293,hsa-mir-7106,hsa-miR-7106-5p
1294,hsa-mir-7107,hsa-miR-7107-5p
1295,hsa-mir-7108,hsa-miR-7108-3p
1296,hsa-mir-7109,hsa-miR-7109-5p
1297,hsa-mir-7110,hsa-miR-7110-3p
1298,hsa-mir-7111,hsa-miR-7111-3p
1299,hsa-mir-7112,hsa-miR-7112-5p
1300,hsa-mir-7113,hsa-miR-7113-5p
1301,hsa-mir-7114,hsa-miR-7114-5p
1302,hsa-mir-7151,hsa-miR-7151-5p
1303,hsa-mir-7152,hsa-miR-7152-5p
1304,hsa-mir-7155,hsa-miR-7155-5p
1305,hsa-mir-7156,hsa-miR-7156-3p
1306,hsa-mir-7157,hsa-miR-7157-5p
1307,hsa-mir-7158,hsa-miR-7158-3p
1308,hsa-mir-7160,hsa-miR-7160-3p
1309,hsa-mir-7161,hsa-miR-7161-5p
1310,hsa-mir-718,hsa-miR-718
1311,hsa-mir-744,hsa-miR-744-5p
1312,hsa-mir-758,hsa-miR-758-3p
1313,hsa-mir-760,hsa-miR-760
1314,hsa-mir-762,hsa-miR-762
1315,hsa-mir-765,hsa-miR-765
1316,hsa-mir-766,hsa-miR-766-5p
1317,hsa-mir-767,hsa-miR-767-3p
