,TCGA,miRTarBase
762,hsa-mir-4768,hsa-miR-4768-3p
763,hsa-mir-4769,hsa-miR-4769-5p
764,hsa-mir-4770,hsa-miR-4770
765,hsa-mir-4772,hsa-miR-4772-5p
766,hsa-mir-4774,hsa-miR-4774-3p
767,hsa-mir-4775,hsa-miR-4775
768,hsa-mir-4777,hsa-miR-4777-3p
769,hsa-mir-4778,hsa-miR-4778-5p
770,hsa-mir-4779,hsa-miR-4779
771,hsa-mir-4780,hsa-miR-4780
772,hsa-mir-4781,hsa-miR-4781-5p
773,hsa-mir-4782,hsa-miR-4782-3p
774,hsa-mir-4783,hsa-miR-4783-3p
775,hsa-mir-4784,hsa-miR-4784
776,hsa-mir-4785,hsa-miR-4785
777,hsa-mir-4786,hsa-miR-4786-3p
778,hsa-mir-4787,hsa-miR-4787-5p
779,hsa-mir-4788,hsa-miR-4788
780,hsa-mir-4789,hsa-miR-4789-3p
781,hsa-mir-4790,hsa-miR-4790-5p
782,hsa-mir-4791,hsa-miR-4791
783,hsa-mir-4792,hsa-miR-4792
784,hsa-mir-4793,hsa-miR-4793-3p
785,hsa-mir-4794,hsa-miR-4794
786,hsa-mir-4795,hsa-miR-4795-3p
787,hsa-mir-4796,hsa-miR-4796-5p
788,hsa-mir-4797,hsa-miR-4797-5p
789,hsa-mir-4798,hsa-miR-4798-3p
790,hsa-mir-4799,hsa-miR-4799-5p
791,hsa-mir-4800,hsa-miR-4800-5p
792,hsa-mir-4802,hsa-miR-4802-5p
793,hsa-mir-4803,hsa-miR-4803
794,hsa-mir-4804,hsa-miR-4804-3p
795,hsa-mir-483,hsa-miR-483-5p
796,hsa-mir-484,hsa-miR-484
797,hsa-mir-485,hsa-miR-485-5p
798,hsa-mir-487a,hsa-miR-487a-5p
799,hsa-mir-487b,hsa-miR-487b-3p
800,hsa-mir-488,hsa-miR-488-3p
801,hsa-mir-489,hsa-miR-489-5p
802,hsa-mir-490,hsa-miR-490-5p
803,hsa-mir-491,hsa-miR-491-3p
804,hsa-mir-492,hsa-miR-492
805,hsa-mir-493,hsa-miR-493-5p
806,hsa-mir-494,hsa-miR-494-3p
807,hsa-mir-495,hsa-miR-495-5p
808,hsa-mir-496,hsa-miR-496
809,hsa-mir-497,hsa-miR-497-5p
810,hsa-mir-498,hsa-miR-498
811,hsa-mir-4999,hsa-miR-4999-5p
812,hsa-mir-499a,hsa-miR-499a-5p
813,hsa-mir-499b,hsa-miR-499b-3p
814,hsa-mir-5000,hsa-miR-5000-5p
815,hsa-mir-5001,hsa-miR-5001-3p
816,hsa-mir-5002,hsa-miR-5002-3p
817,hsa-mir-5003,hsa-miR-5003-5p
818,hsa-mir-5004,hsa-miR-5004-3p
819,hsa-mir-5006,hsa-miR-5006-5p
820,hsa-mir-5007,hsa-miR-5007-3p
821,hsa-mir-5008,hsa-miR-5008-5p
822,hsa-mir-5009,hsa-miR-5009-3p
823,hsa-mir-500a,hsa-miR-500a-3p
824,hsa-mir-500b,hsa-miR-500b-3p
825,hsa-mir-501,hsa-miR-501-5p
826,hsa-mir-5010,hsa-miR-5010-3p
827,hsa-mir-5011,hsa-miR-5011-5p
828,hsa-mir-502,hsa-miR-502-3p
829,hsa-mir-503,hsa-miR-503-5p
830,hsa-mir-504,hsa-miR-504-5p
831,hsa-mir-5047,hsa-miR-5047
832,hsa-mir-505,hsa-miR-505-3p
833,hsa-mir-506,hsa-miR-506-5p
834,hsa-mir-507,hsa-miR-507
835,hsa-mir-508,hsa-miR-508-3p
836,hsa-mir-5087,hsa-miR-5087
837,hsa-mir-5088,hsa-miR-5088-5p
838,hsa-mir-5089,hsa-miR-5089-3p
839,hsa-mir-509-3,hsa-miR-509-3-5p
840,hsa-mir-5090,hsa-miR-5090
841,hsa-mir-5091,hsa-miR-5091
842,hsa-mir-5092,hsa-miR-5092
843,hsa-mir-5093,hsa-miR-5093
844,hsa-mir-5094,hsa-miR-5094
845,hsa-mir-5095,hsa-miR-5095
846,hsa-mir-510,hsa-miR-510-3p
847,hsa-mir-5100,hsa-miR-5100
848,hsa-mir-511,hsa-miR-511-3p
849,hsa-mir-513b,hsa-miR-513b-5p
850,hsa-mir-513c,hsa-miR-513c-3p
851,hsa-mir-514b,hsa-miR-514b-5p
852,hsa-mir-517a,hsa-miR-517a-3p
853,hsa-mir-517b,hsa-miR-517b-3p
854,hsa-mir-517c,hsa-miR-517c-3p
855,hsa-mir-5187,hsa-miR-5187-3p
856,hsa-mir-5188,hsa-miR-5188
857,hsa-mir-5189,hsa-miR-5189-5p
858,hsa-mir-518b,hsa-miR-518b
859,hsa-mir-518c,hsa-miR-518c-3p
860,hsa-mir-518d,hsa-miR-518d-5p
861,hsa-mir-518e,hsa-miR-518e-3p
862,hsa-mir-518f,hsa-miR-518f-3p
863,hsa-mir-5190,hsa-miR-5190
864,hsa-mir-5191,hsa-miR-5191
865,hsa-mir-5192,hsa-miR-5192
866,hsa-mir-5193,hsa-miR-5193
867,hsa-mir-5194,hsa-miR-5194
868,hsa-mir-5195,hsa-miR-5195-3p
869,hsa-mir-5196,hsa-miR-5196-3p
870,hsa-mir-519b,hsa-miR-519b-5p
871,hsa-mir-519c,hsa-miR-519c-3p
872,hsa-mir-519d,hsa-miR-519d-3p
873,hsa-mir-519e,hsa-miR-519e-3p
874,hsa-mir-520a,hsa-miR-520a-3p
875,hsa-mir-520b,hsa-miR-520b
876,hsa-mir-520c,hsa-miR-520c-5p
877,hsa-mir-520d,hsa-miR-520d-5p
878,hsa-mir-520e,hsa-miR-520e
879,hsa-mir-520f,hsa-miR-520f-5p
880,hsa-mir-520g,hsa-miR-520g-5p
881,hsa-mir-520h,hsa-miR-520h
882,hsa-mir-522,hsa-miR-522-5p
883,hsa-mir-523,hsa-miR-523-3p
884,hsa-mir-524,hsa-miR-524-5p
885,hsa-mir-525,hsa-miR-525-3p
886,hsa-mir-526b,hsa-miR-526b-3p
887,hsa-mir-527,hsa-miR-527
888,hsa-mir-532,hsa-miR-532-5p
889,hsa-mir-539,hsa-miR-539-3p
890,hsa-mir-541,hsa-miR-541-3p
891,hsa-mir-542,hsa-miR-542-5p
892,hsa-mir-543,hsa-miR-543
893,hsa-mir-544a,hsa-miR-544a
894,hsa-mir-544b,hsa-miR-544b
895,hsa-mir-545,hsa-miR-545-3p
896,hsa-mir-548ab,hsa-miR-548ab
897,hsa-mir-548ac,hsa-miR-548ac
898,hsa-mir-548ad,hsa-miR-548ad-3p
899,hsa-mir-548ah,hsa-miR-548ah-5p
900,hsa-mir-548ai,hsa-miR-548ai
901,hsa-mir-548ak,hsa-miR-548ak
902,hsa-mir-548al,hsa-miR-548al
903,hsa-mir-548am,hsa-miR-548am-5p
904,hsa-mir-548an,hsa-miR-548an
905,hsa-mir-548ao,hsa-miR-548ao-3p
906,hsa-mir-548ap,hsa-miR-548ap-5p
907,hsa-mir-548aq,hsa-miR-548aq-3p
908,hsa-mir-548ar,hsa-miR-548ar-3p
909,hsa-mir-548as,hsa-miR-548as-3p
910,hsa-mir-548at,hsa-miR-548at-3p
911,hsa-mir-548au,hsa-miR-548au-3p
912,hsa-mir-548av,hsa-miR-548av-3p
913,hsa-mir-548aw,hsa-miR-548aw
914,hsa-mir-548ax,hsa-miR-548ax
915,hsa-mir-548ay,hsa-miR-548ay-5p
916,hsa-mir-548az,hsa-miR-548az-5p
917,hsa-mir-548b,hsa-miR-548b-5p
918,hsa-mir-548ba,hsa-miR-548ba
919,hsa-mir-548bb,hsa-miR-548bb-3p
920,hsa-mir-548e,hsa-miR-548e-5p
921,hsa-mir-548j,hsa-miR-548j-5p
922,hsa-mir-548k,hsa-miR-548k
923,hsa-mir-548l,hsa-miR-548l
924,hsa-mir-548n,hsa-miR-548n
925,hsa-mir-548o,0
926,hsa-mir-548p,hsa-miR-548p
927,hsa-mir-548q,hsa-miR-548q
928,hsa-mir-548s,hsa-miR-548s
929,hsa-mir-548t,hsa-miR-548t-5p
930,hsa-mir-548u,hsa-miR-548u
931,hsa-mir-548v,hsa-miR-548v
932,hsa-mir-548w,hsa-miR-548w
933,hsa-mir-548x,0
934,hsa-mir-548y,hsa-miR-548y
935,hsa-mir-549a,hsa-miR-549a
936,hsa-mir-550a-3,hsa-miR-550a-3-5p
937,hsa-mir-550b-2,hsa-miR-550b-2-5p
938,hsa-mir-551a,hsa-miR-551a
939,hsa-mir-551b,hsa-miR-551b-5p
940,hsa-mir-552,hsa-miR-552-5p
941,hsa-mir-554,hsa-miR-554
942,hsa-mir-555,hsa-miR-555
943,hsa-mir-556,hsa-miR-556-5p
944,hsa-mir-5571,hsa-miR-5571-3p
945,hsa-mir-5572,hsa-miR-5572
946,hsa-mir-5579,hsa-miR-5579-5p
947,hsa-mir-558,hsa-miR-558
948,hsa-mir-5580,hsa-miR-5580-3p
949,hsa-mir-5581,hsa-miR-5581-3p
950,hsa-mir-5582,hsa-miR-5582-3p
951,hsa-mir-5584,hsa-miR-5584-5p
952,hsa-mir-5585,hsa-miR-5585-5p
953,hsa-mir-5586,hsa-miR-5586-5p
954,hsa-mir-5587,hsa-miR-5587-3p
955,hsa-mir-5588,hsa-miR-5588-5p
956,hsa-mir-5589,hsa-miR-5589-3p
957,hsa-mir-559,hsa-miR-559
958,hsa-mir-5590,hsa-miR-5590-3p
959,hsa-mir-561,hsa-miR-561-3p
960,hsa-mir-564,hsa-miR-564
961,hsa-mir-567,hsa-miR-567
962,hsa-mir-568,hsa-miR-568
963,hsa-mir-5680,hsa-miR-5680
964,hsa-mir-5681a,hsa-miR-5681a
965,hsa-mir-5681b,hsa-miR-5681b
966,hsa-mir-5682,hsa-miR-5682
967,hsa-mir-5683,hsa-miR-5683
968,hsa-mir-5684,hsa-miR-5684
969,hsa-mir-5685,hsa-miR-5685
970,hsa-mir-5687,hsa-miR-5687
971,hsa-mir-5688,hsa-miR-5688
972,hsa-mir-5689,hsa-miR-5689
973,hsa-mir-5690,hsa-miR-5690
974,hsa-mir-5691,hsa-miR-5691
975,hsa-mir-5693,hsa-miR-5693
976,hsa-mir-5694,hsa-miR-5694
977,hsa-mir-5695,hsa-miR-5695
978,hsa-mir-5696,hsa-miR-5696
979,hsa-mir-5697,hsa-miR-5697
980,hsa-mir-5698,hsa-miR-5698
981,hsa-mir-5699,hsa-miR-5699-3p
982,hsa-mir-570,hsa-miR-570-3p
983,hsa-mir-5700,hsa-miR-5700
984,hsa-mir-5702,hsa-miR-5702
985,hsa-mir-5703,hsa-miR-5703
986,hsa-mir-5704,hsa-miR-5704
987,hsa-mir-5705,hsa-miR-5705
988,hsa-mir-5706,hsa-miR-5706
989,hsa-mir-5707,hsa-miR-5707
990,hsa-mir-5708,hsa-miR-5708
991,hsa-mir-571,hsa-miR-571
992,hsa-mir-572,hsa-miR-572
993,hsa-mir-573,hsa-miR-573
994,hsa-mir-574,hsa-miR-574-5p
995,hsa-mir-575,hsa-miR-575
996,hsa-mir-576,hsa-miR-576-5p
997,hsa-mir-577,hsa-miR-577
998,hsa-mir-578,hsa-miR-578
999,hsa-mir-579,hsa-miR-579-5p
1000,hsa-mir-580,hsa-miR-580-5p
1001,hsa-mir-581,hsa-miR-581
1002,hsa-mir-582,hsa-miR-582-5p
1003,hsa-mir-584,hsa-miR-584-5p
