,0
909,HENMT1
910,WWC1
911,SARS2
912,ZBTB46
913,UBD
914,SPON1
915,TOX3
916,NBEA
917,SDCBP2
918,TMEM214
919,SLPI
920,SRP72
921,MYO1G
922,SLFN11
923,HMGB1
924,PDHX
925,ZNF628
926,FGF14
927,NLRP5
928,MTF1
929,F11
930,GRSF1
931,JMY
932,FOXG1
933,CDHR1
934,RAD51
935,MTMR12
936,SLC50A1
937,CA11
938,PTPN21
939,ARHGAP1
940,FBXO38
941,PSG8
942,MAN2B2
943,FADS6
944,PLXNB3
945,TBCB
946,METAP1
947,KRT27
948,WIF1
949,GPN1
950,GNL3
951,PRMT7
952,TGFB1
953,UCN3
954,ACOX1
955,FBXO17
956,PCDHB3
957,COPG2
958,YIPF2
959,FJX1
960,BAG3
961,FOXN3
962,POLR3GL
963,KRT71
964,BRD8
965,PKLR
966,ALG5
967,BICD2
968,DDX52
969,FAH
970,RCHY1
971,TMED3
972,POLDIP3
973,MPP1
974,ACPP
975,TTK
976,JAK2
977,ACTR1A
978,KRTAP10-10
979,LYPD5
980,CENPK
981,FEZ1
982,KRT3
983,RBM12
984,HS6ST1
985,SLC17A8
986,LAMP1
987,NUDT5
988,CCDC91
989,SECTM1
990,ADRA2C
991,KDM2A
992,FNIP1
993,PHKA2
994,PPP2R1B
995,ITGA1
996,ZNF844
997,HMGN5
998,DPP6
999,CACNG3
1000,CCDC61
1001,CDC37
1002,PGF
1003,PYHIN1
1004,BOD1
1005,FANCI
1006,HERC6
1007,KLHL13
1008,ESAM
1009,MBD6
1010,CDH2
1011,RXFP4
1012,LHX3
1013,GTPBP10
1014,DDX3X
1015,OVOL2
1016,LYPD3
1017,STX16
1018,MAP1S
1019,TMEM185B
1020,COPS4
1021,TESC
1022,VBP1
1023,WNT4
1024,UPF1
1025,SPAG5
1026,LSM14A
1027,ARHGEF2
1028,KPTN
1029,RTKN
1030,NEUROG3
1031,IL13RA1
1032,PARVG
1033,ZAP70
1034,TNNT1
1035,SHOC2
1036,PARP10
1037,SUMF1
1038,CENPH
1039,ZNF140
1040,FTCD
1041,IPO9
1042,SNX7
1043,NOTCH3
1044,PRRT3
1045,FAM50A
1046,AGMO
1047,CYB561D2
1048,POP7
1049,ACSM5
1050,ZNF574
1051,TP53BP1
1052,TMEM206
1053,C1R
1054,ACLY
1055,AGGF1
1056,PRKG2
1057,MPEG1
1058,TAOK3
1059,SMIM1
1060,RASAL3
1061,CLEC4D
1062,CERS1
1063,GAB2
1064,NOP16
1065,SALL2
1066,CST6
1067,SGCA
1068,ANK3
1069,ERGIC1
1070,MPP6
1071,KSR2
1072,MYBPC1
1073,CREM
1074,TBCA
1075,EPHA7
1076,MET
1077,ACAT1
1078,CHCHD4
1079,PCDH18
1080,CD46
1081,DNAJC8
1082,CHST3
1083,SNCB
1084,AP2M1
1085,DHX16
1086,NHS
1087,ACO1
1088,REEP2
1089,SCYL1
1090,BBS5
1091,ST6GALNAC2
1092,SLC51A
1093,SNF8
1094,SEC24D
1095,PLSCR4
1096,MGAT4A
1097,SLC5A7
1098,HNMT
1099,RNASE2
1100,VRK1
1101,WDR4
1102,GPR37
1103,ZNF552
1104,CUL4A
1105,MUC1
1106,SHROOM3
1107,CASC3
1108,CDH4
1109,GLYCTK
1110,B3GALT4
1111,UTP20
1112,LGR4
1113,CENPQ
1114,FANCE
1115,COL4A6
1116,UMPS
1117,C5AR1
1118,PGC
1119,NDUFA7
1120,RSPH9
1121,PDCD1
1122,KMT2C
1123,RRM2B
1124,FOXD1
1125,SLC17A2
1126,COL8A2
1127,BMP2
1128,SERPINH1
1129,CD164
1130,MSL1
1131,INO80B
1132,PNN
1133,AASDHPPT
1134,MMP8
1135,CHL1
1136,DNAJC18
1137,FRMD4B
1138,SPEN
1139,PNLIPRP2
1140,MRPL54
1141,GAL3ST1
1142,ALAD
1143,NXN
1144,GNAQ
1145,CD14
1146,IGFBP5
1147,LCE1A
1148,GIMAP4
1149,INO80E
1150,SERPING1
1151,CLVS2
1152,BRD2
1153,AQP8
1154,LDHD
1155,SLK
1156,WDR45B
1157,DTYMK
1158,FOXH1
1159,PTP4A1
1160,SFRP4
1161,NOTCH4
1162,CARTPT
1163,HMGN1
1164,PDGFRB
1165,TRAPPC6B
1166,NT5C2
1167,RTCB
1168,MYO1C
1169,TCAP
1170,AKT1
1171,ITGAX
1172,HIST1H1B
1173,SAFB2
1174,COL7A1
1175,IFI16
1176,FOXF1
1177,SYNGR3
1178,TIPRL
1179,FBXO7
1180,ATP6V1F
1181,NDUFV2
1182,MNT
1183,P2RX7
1184,ABI1
1185,NEU3
1186,A1BG
1187,DPH3
1188,B3GALT6
1189,EPHX4
1190,UQCC3
1191,TRA2B
1192,FNDC3B
1193,NDUFB5
1194,INF2
1195,BOP1
1196,EVPL
1197,TMEM229B
1198,NUBP1
1199,SSX1
1200,RRAGC
1201,SCAF4
1202,MPPE1
1203,AIM2
1204,CORO1B
1205,ARPC3
1206,COL6A3
1207,KRTAP7-1
1208,RHOQ
1209,ASNS
1210,NCF4
1211,SPX
1212,MINK1
1213,KRTAP2-3
1214,SNTB1
1215,PCSK4
1216,CEND1
1217,TMEM63B
1218,AMER1
1219,STRAP
1220,TIMM44
1221,RFTN1
1222,TPST1
1223,CYP11B1
1224,WFIKKN2
1225,SENP2
1226,C15orf48
1227,TAX1BP3
1228,RPS4X
1229,DLG4
1230,IREB2
1231,ZNF649
1232,SFXN5
1233,PDK3
1234,TLR3
1235,RGS20
1236,RNF2
1237,CARS
1238,EXOSC4
1239,DDX50
1240,SERHL2
1241,WARS2
1242,DCAF10
1243,MLXIP
1244,COPG1
1245,TERF2
1246,TSPYL5
1247,PEG10
1248,NTF3
1249,CHODL
1250,DDX24
1251,CCDC90B
1252,GADD45B
1253,WDR26
1254,TAB2
1255,GLCCI1
1256,SYT13
1257,CBX2
1258,PPFIBP1
1259,MMP3
1260,NBPF15
1261,AMFR
1262,UNC5CL
1263,EEF2
1264,KRT12
1265,SLCO2B1
1266,ANLN
1267,CD3G
1268,SERGEF
1269,SPSB1
