,0
1015,HIST3H2BB
1016,HMGCL
1017,TRIM72
1018,BRINP3
1019,EPHA7
1020,SRRM2
1021,SENP1
1022,CSF1
1023,MFSD12
1024,FLT1
1025,RAD18
1026,LGALS8
1027,IFITM1
1028,SPAG16
1029,RAI14
1030,GLT8D2
1031,IRF2BPL
1032,MYO1D
1033,TMEM182
1034,PC
1035,MSL1
1036,SHROOM3
1037,DCAF13
1038,HK1
1039,CDC42SE2
1040,FKBP10
1041,VARS2
1042,CCDC61
1043,NAALADL2
1044,ZNF100
1045,ATP1A1
1046,SMAP1
1047,PROC
1048,LYRM7
1049,RRP9
1050,RHBDF2
1051,CBX1
1052,PLOD3
1053,GALM
1054,ACADSB
1055,ILF3
1056,HLA-A
1057,FASTK
1058,HTRA3
1059,PLAGL2
1060,CAMKK2
1061,DARS2
1062,ATF7IP2
1063,SLC27A4
1064,ASIC1
1065,CCDC51
1066,RRAGD
1067,VPS9D1
1068,RHEBL1
1069,TMEM179B
1070,FABP5
1071,TAF8
1072,MYOG
1073,S100A6
1074,ZNF174
1075,RTCA
1076,KIAA1217
1077,TNNI1
1078,LIPE
1079,TWF1
1080,ARMC10
1081,PCGF5
1082,DRAP1
1083,S100G
1084,TMPRSS4
1085,PZP
1086,COL26A1
1087,SEPT8
1088,LRFN4
1089,COL8A2
1090,PTPRM
1091,SLK
1092,EMD
1093,PTAFR
1094,MRPS16
1095,TMCC2
1096,FABP7
1097,DNMT1
1098,GOLGA2
1099,TBX1
1100,P2RX2
1101,ZNF652
1102,SUPT16H
1103,KATNA1
1104,F11R
1105,NRP2
1106,LGALS7B
1107,CDC42EP3
1108,GJA5
1109,PCSK4
1110,LRRN1
1111,TJP2
1112,ABCG2
1113,XIRP1
1114,MYOZ2
1115,BRAP
1116,SLC7A1
1117,DLGAP5
1118,EYA4
1119,NUP210
1120,TYSND1
1121,ALDH5A1
1122,HEYL
1123,MTX3
1124,EXTL1
1125,SCFD1
1126,ADAM9
1127,KIRREL3
1128,SHROOM2
1129,CCND3
1130,ARHGAP19
1131,PSTPIP1
1132,FECH
1133,SIRT1
1134,RCC1
1135,SGCD
1136,RNF125
1137,CBX4
1138,SOS2
1139,ATP6V0D1
1140,PON3
1141,SECTM1
1142,MAD1L1
1143,NDUFA5
1144,ODF2L
1145,SEC61B
1146,LANCL2
1147,S100A8
1148,NDUFB2
1149,NT5C3A
1150,CKAP2
1151,SLC44A2
1152,LPIN2
1153,CDCA8
1154,LPAR2
1155,FADD
1156,PTPN18
1157,GOLPH3L
1158,C9
1159,TEKT2
1160,CPSF3
1161,PPFIA3
1162,ESYT1
1163,PARD3
1164,TFEC
1165,MRPL37
1166,PPP3R1
1167,PIK3R3
1168,IGKV3-20
1169,TCF7L1
1170,WDR45B
1171,FHIT
1172,GTF2H1
1173,VCAM1
1174,EZH1
1175,RAB3GAP2
1176,GAD1
1177,MOCS3
1178,TCTA
1179,GLYAT
1180,GPC6
1181,CD24
1182,CTSC
1183,GP2
1184,BMP2
1185,CASS4
1186,GPHN
1187,WTAP
1188,DNAAF2
1189,MPP5
1190,MTIF2
1191,ATMIN
1192,BLOC1S3
1193,SMOC1
1194,MBTPS1
1195,CCR2
1196,DDT
1197,NPAS2
1198,PAF1
1199,NEIL2
1200,CXCL1
1201,REG1A
1202,CUL1
1203,TRNT1
1204,TMCC3
1205,SPCS1
1206,NKTR
1207,TSHZ1
1208,DERL1
1209,SIRT2
1210,TOR1A
1211,GINM1
1212,ITIH5
1213,MAB21L2
1214,VDR
1215,GORASP2
1216,PHC2
1217,RELB
1218,USP4
1219,RACGAP1
1220,CLDN1
1221,NAT14
1222,LPCAT1
1223,F2RL3
1224,SEMA3C
1225,CD207
1226,ACVR1C
1227,HLA-DRA
1228,MYOC
1229,VWA8
1230,PAXIP1
1231,GPCPD1
1232,ITIH2
1233,NARS2
1234,PPIC
1235,EFHD1
1236,CACNG1
1237,ELP4
1238,FOLR1
1239,BET1
1240,MSH6
1241,PRRX2
1242,DTX1
1243,SLC25A48
1244,OPA3
1245,ENTPD3
1246,MIDN
1247,NKX2-5
1248,GEMIN2
1249,TNFRSF13C
1250,TTK
1251,RPL14
1252,CDCA7
1253,LRPAP1
1254,EGR4
1255,CHMP6
1256,VMP1
1257,ZNF616
1258,ZKSCAN8
1259,DNAL4
1260,SCD
1261,PDZD4
1262,TRAPPC2L
1263,MEA1
1264,LMNB1
1265,NEK4
1266,PTX3
1267,CCL25
1268,CD200
1269,MMP15
1270,SLC25A28
1271,SNAPC5
1272,QKI
1273,KIF21B
1274,UBE4A
1275,TRIM16
1276,PTPN14
1277,VASP
1278,PRKX
1279,BRINP1
1280,POLR2G
1281,PSPH
1282,CENPQ
1283,AMBRA1
1284,USP25
1285,TLR6
1286,MCIDAS
1287,PRCC
1288,NUCB1
1289,ZNF131
1290,EXOC2
1291,PTPN21
1292,MAT1A
1293,RPL34
1294,CADPS2
1295,MEPE
1296,KCNF1
1297,HIF3A
1298,RBM28
1299,ADAMTS7
1300,RAB11FIP1
1301,NET1
1302,SKAP1
1303,IFT172
1304,INPP5K
1305,FNDC5
1306,IGFBP2
1307,SBDS
1308,LANCL1
1309,TNFRSF17
1310,MEAF6
1311,DNAJB5
1312,CXCL16
1313,SNRPN
1314,FUT2
1315,DYNC1I1
1316,CHIT1
1317,NONO
1318,PROCR
1319,RASSF7
1320,IFT57
1321,TNFSF12
1322,ZCCHC7
1323,GYPC
1324,TMEM51
1325,GARS
1326,EVA1A
1327,NDUFB6
1328,HIPK1
1329,PWP1
1330,CD70
1331,BTN3A1
1332,SWI5
1333,RAB33B
1334,CREB5
1335,RASEF
1336,SGSM3
1337,CC2D1B
1338,DYNLL2
1339,RASSF1
1340,MED22
1341,GAL3ST2
1342,RPAP1
1343,ZC3HC1
1344,TRMT112
1345,FOXA3
1346,KCNC1
1347,F2RL1
1348,ST6GALNAC2
1349,SP110
1350,FGFR1
1351,COMMD4
1352,CNTFR
1353,CKAP2L
1354,DDX56
1355,PPCDC
1356,UBAP2L
1357,SLC48A1
1358,IQGAP1
1359,FEM1C
1360,PCOLCE
1361,TFPI2
1362,PCK1
1363,MRC1
1364,MAPK13
1365,TRADD
1366,POLR2E
1367,GNPDA1
1368,CFTR
1369,IFIT1
1370,PRDM6
1371,IQSEC1
1372,ABCD2
1373,SLC30A2
1374,RPL32
1375,F10
1376,LRRC8D
1377,BNIP2
1378,CLSPN
1379,RYR2
1380,LDLR
1381,BOK
1382,TYMP
1383,NUDT3
1384,KIFAP3
1385,SLC9B2
1386,SNAPC3
1387,RASGRP1
1388,ITPR1
1389,TMBIM6
1390,NQO2
1391,BTD
1392,PML
1393,DPP3
1394,NF1
1395,GRINA
1396,ASF1A
1397,CCDC113
1398,AP1G1
1399,SERPINA3
1400,LRRN2
1401,RSL1D1
1402,CD248
1403,GCLC
1404,DHX32
1405,AFAP1L2
1406,FBL
1407,MAP4K5
1408,BST2
1409,SNX7
1410,RIN1
1411,MKKS
1412,P2RX4
1413,MUC16
1414,TNPO1
1415,SLC35F6
1416,CSTB
1417,RAP1GAP
1418,AKAP17A
1419,ZMYM2
1420,YIF1A
1421,EVL
1422,WNT7A
1423,RNF170
1424,PDK4
1425,EHMT1
1426,PNLDC1
1427,STRN
1428,IQCE
1429,FBP1
1430,ENGASE
1431,PMPCA
1432,EIF2AK4
1433,MEX3B
1434,TNFRSF14
1435,C1orf56
1436,PIGL
1437,CD1A
1438,ATF6B
1439,ATP2B4
1440,PFKL
1441,RAB3GAP1
1442,PKP1
1443,AKAP1
1444,CCL28
1445,IFT20
1446,SGSM1
1447,ACAD10
1448,SAP30BP
1449,DPYSL2
1450,CRNN
1451,KPNA6
1452,ALG5
1453,MOCS2
1454,EMC1
1455,CSNK1G1
1456,UFM1
1457,ZNF75A
1458,CYBRD1
1459,TLE1
1460,SEPT4
1461,ETV3L
1462,IGFBP5
1463,RPL28
1464,TACO1
1465,CDC37
1466,FRS3
1467,PHF11
1468,KRT31
1469,UROS
1470,KRT5
1471,KATNAL1
1472,NUP214
1473,PRKCSH
1474,LAMP5
1475,TMEM45B
1476,RGS11
1477,KCTD14
1478,ATP11B
1479,SPON1
1480,EML4
1481,PITX1
1482,DCLK1
1483,RAD21
1484,TEX19
1485,RHBDF1
1486,EFNB1
1487,RNF135
1488,CKMT1B
1489,CTBS
1490,INHBE
1491,NEDD1
1492,INPP5B
1493,SMARCAD1
1494,KCTD15
1495,HSPB11
1496,ZNF689
1497,LY6D
1498,TBCCD1
1499,CD83
1500,RPS6KA2
1501,SUCLA2
1502,TWF2
1503,BDP1
1504,ARFGAP2
1505,CYP7B1
1506,MIER3
1507,PLEKHB1
1508,TIMM23
1509,IFT52
1510,NRBP2
1511,MAP4K2
1512,SMARCA5
1513,TRIM56
1514,APLP1
1515,AGPS
1516,NR2E3
1517,PTPN9
1518,DNALI1
1519,IPMK
1520,LAMTOR1
1521,RRN3
1522,PGLS
1523,ANK1
1524,UGGT1
1525,GTF2E1
1526,POLR2H
1527,SSX2IP
1528,LMF2
1529,CMTM4
1530,RBM5
1531,DRD2
1532,TSPAN5
1533,USP33
1534,HSPA5
1535,SCGB3A1
1536,DYNLT1
1537,CDC25B
1538,RER1
1539,MPZ
1540,CNPY4
1541,ATF6
1542,TP63
1543,TMEM41A
1544,SLC25A3
1545,MLPH
1546,RBM24
1547,VBP1
1548,MYO10
1549,GNAO1
1550,ZNF785
1551,CIRBP
1552,CEP170B
1553,USP2
1554,ZNF69
1555,CCNH
1556,ATP6V1C2
1557,TEAD4
1558,C8G
1559,EIF3D
1560,TRRAP
1561,TFCP2L1
1562,HIGD1A
1563,FOXRED1
1564,TMCO6
1565,SKP1
1566,CEP70
1567,NUMB
1568,STARD3NL
1569,MAN2A1
1570,CXCL9
1571,WASF3
1572,DPY19L1
1573,HLA-F
1574,SERPINB1
1575,TIMM17A
