,0
859,TMPRSS3
860,KLF16
861,TSPAN3
862,NLRP1
863,SLC9A7
864,VPS36
865,DUSP4
866,ID4
867,PARP16
868,ZNF662
869,PAWR
870,KRTAP13-4
871,CRTAP
872,ARFGAP1
873,THRSP
874,LRP1
875,SUSD1
876,DDR2
877,FUT8
878,SLC25A5
879,KLC4
880,PIGC
881,KLK7
882,SLC5A3
883,S100B
884,ADAM8
885,TSPAN18
886,PTPMT1
887,KLHL9
888,ENO1
889,DGKQ
890,SLC2A6
891,VHL
892,HMGCS2
893,KMT2E
894,ASAP3
895,IRF4
896,CLEC4A
897,ATP8B2
898,TMEM167A
899,KLF4
900,SLAMF7
901,NAV2
902,ACBD5
903,KRT33B
904,DGCR2
905,ENO2
906,SYT5
907,SEPT7
908,PHF12
909,KIAA2013
910,FRMD1
911,AGPAT1
912,CHMP1A
913,KIAA0753
914,PXMP2
915,HTR1D
916,LIN28B
917,LTK
918,SLC39A11
919,FAM172A
920,GANAB
921,GLP1R
922,PPP1R12A
923,PTPRO
924,NOL3
925,MORC2
926,ALOX5AP
927,CLMP
928,HIST3H2BB
929,TREM1
930,HMGCL
931,BRINP3
932,DGKE
933,EPHA7
934,SRRM2
935,SENP1
936,CSF1
937,MFSD12
938,FLT1
939,LGALS8
940,IFITM1
941,RAI14
942,GLT8D2
943,IRF2BPL
944,MYO1D
945,PC
946,MSL1
947,SHROOM3
948,DCAF13
949,HK1
950,IGFN1
951,CDC42SE2
952,FKBP10
953,VARS2
954,CAMKK1
955,CCDC61
956,ATP1A1
957,SMAP1
958,PROC
959,RRP9
960,RHBDF2
961,CBX1
962,PLOD3
963,GALM
964,ACADSB
965,ILF3
966,HLA-A
967,FASTK
968,HTRA3
969,PLAGL2
970,CAMKK2
971,MFSD9
972,DARS2
973,SMAD6
974,ATF7IP2
975,SLC27A4
976,KCNB2
977,CCDC51
978,RRAGD
979,VPS9D1
980,TMEM179B
981,TAF8
982,FABP5
983,S100A6
984,RTCA
985,KIAA1217
986,LIPE
987,WNT16
988,TWF1
989,ARMC10
990,PCGF5
991,DRAP1
992,S100G
993,TMPRSS4
994,PZP
995,COL26A1
996,SEPT8
997,LRFN4
998,COL8A2
999,SLK
1000,PTPRM
1001,PTAFR
1002,EMD
1003,MRPS16
1004,TMCC2
1005,FABP7
1006,DNMT1
1007,GOLGA2
1008,TBX1
1009,ZNF652
1010,SUPT16H
1011,KATNA1
1012,NRP2
1013,F11R
1014,LGALS7B
1015,CDC42EP3
1016,GJA5
1017,LRRN1
1018,TJP2
1019,ABCG2
1020,BRAP
