,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
10,2.8779612,-3.1529481,-1.6108971,-0.023361983,-2.765311,-2.2104142,-1.7055459,-2.1892874,-6.616316,7.926626,3.425707,2.7283463,6.1504936,7.9480104,-4.9339314,-1.6200026,0.42074156,-3.7687545,5.300193,2.4118838,-2.1710165,-1.0518985,-3.765431,-2.179568,-2.9801295,0.43736503,4.196563,-6.483321,-2.0913353,6.870752,2.7740204,-0.32493713,5.9154353,-5.954127,-6.8639345,-5.888853,3.164709,-4.845265,3.2362325,5.9678955,3.7356327,1.3123623,-4.573655,-4.3937335,3.7929072,4.8228006,4.3935456,-0.5527043,-0.4067143,2.0958025,-0.50736594,1.5715637,0.81966114,0.26395196,1.3575919,0.103937835,-0.061249927,-0.5938283,0.54092145,-0.70831156,-0.20324701,0.24795866,0.065605775,0.36892056
11,25.43713,-12.804895,-12.7003,7.1888223,-25.628395,-13.140279,-14.151291,-9.85881,-55.007793,67.36425,28.658901,23.537142,59.769104,74.85623,-41.640484,-14.473783,3.8940446,-33.017235,46.452366,21.127523,-17.252539,-35.42656,-32.302353,-17.036606,-25.872206,3.6534107,35.3647,-55.694885,-17.729088,63.69599,22.569483,8.53469,50.830864,-51.335724,-56.852585,-48.578884,27.29699,-41.42162,29.741476,57.684704,32.727177,14.556736,-37.78804,-37.02827,33.51056,41.787518,37.679207,-4.805575,-3.0034423,20.285248,15.053957,15.216861,-16.274029,11.93521,12.821018,1.8325537,0.56486857,-3.6237342,-9.133566,-3.5293522,-0.7294986,12.273251,3.6890602,2.6529264
12,38.896652,-44.864803,-19.368916,20.2161,-39.05341,19.1617,-1.3570423,34.21575,-85.530304,102.85264,43.736347,35.94304,80.86889,136.99411,-63.582684,-22.148643,34.52899,-50.491234,71.03109,32.336372,-26.251095,-47.663494,-49.34771,-37.818184,-39.53453,5.5796475,54.01083,-85.0917,-27.100903,89.07484,34.37968,53.168053,77.636536,-78.43394,-86.76512,-74.08731,41.708298,-63.3207,45.547874,99.76292,50.05177,60.78364,-57.66067,-56.54948,56.012047,63.820126,57.56153,-7.3673124,-4.5615096,31.069641,49.244617,23.344662,-3.6811028,32.8421,19.62788,2.854092,0.9281057,-5.4229617,21.636173,4.482237,-1.0714341,35.187706,5.7945523,20.59847
13,11.640537,-12.245223,-5.936989,0.2672019,-10.239426,-8.716275,-6.83614,-3.3313189,-25.812605,31.043976,13.230026,10.798463,24.342434,31.365154,-19.210592,-6.624032,3.5960178,-15.153414,21.297148,9.677629,-8.03851,-10.198635,-14.844833,-10.287403,-11.884171,1.6910168,16.317421,-25.61425,-8.192268,26.87909,10.473755,0.4246571,23.370502,-23.597736,-26.317179,-22.49373,12.563985,-19.113169,13.516887,24.15282,15.027787,6.026567,-17.49454,-17.090813,15.3376045,19.192001,17.333673,-2.2036648,-1.4242226,9.126744,-0.83748865,6.8711257,-4.906086,2.3133037,5.789343,0.778165,0.16832921,-1.7878703,-2.7599487,-1.1566339,-0.4165398,1.9266522,1.4413686,-0.37190485
14,28.576488,-5.49724,-8.743456,15.540155,-17.630201,-3.4837275,-1.0116453,3.606145,-38.45764,46.245464,19.693346,16.110506,36.325172,46.785057,-28.608236,-9.900257,2.6978798,-22.616858,31.787785,17.940042,-11.873127,-18.656345,-22.16415,-9.721056,-17.769108,5.3661747,24.324537,-38.2273,-12.193489,40.050682,15.548498,23.461674,34.900913,-35.214252,-39.1022,-33.439476,18.742022,-28.461666,20.35339,47.021862,22.444761,9.124967,-25.997335,-25.46839,22.917902,28.657665,25.8691,-3.301831,6.9394574,13.795438,17.897873,10.385367,-1.4954872,1.8379761,8.757974,1.2374401,0.3282794,-2.5373416,1.3431616,4.016529,-0.5350313,4.930077,2.4105566,4.6513643
15,12.223846,-12.950689,-6.213767,1.7932247,-9.513229,-4.8637905,-3.1734362,3.02775,-27.103205,32.58088,13.867357,11.365048,25.559034,32.901134,-20.138277,-6.9404616,3.5199451,-15.892121,22.366352,10.199491,-8.408967,-11.809755,-15.612918,-10.783262,-12.473184,1.7608784,17.1463,-26.907969,-8.586218,28.216204,10.980382,7.78724,24.507874,-24.767979,-27.596548,-23.579796,13.165439,-20.032999,14.23072,28.564682,15.774734,6.342939,-18.351147,-17.936613,16.09563,20.147766,18.164991,-2.3185267,-1.4880764,9.633821,6.6401224,7.2116947,-1.5441036,7.2492943,6.10499,0.82127285,0.18438384,-1.837822,-1.8634491,4.2303,-0.4234525,1.4105558,1.5968075,1.3658874
16,2.0266762,-2.4401917,-1.2410679,0.030259684,-1.9359672,-1.5463204,-1.1939218,-1.6649096,-4.776443,5.6148453,2.519298,1.850118,4.363589,5.7380123,-3.596078,-1.1807331,0.46035922,-2.6708643,3.7972884,1.7185931,-1.6381308,-0.19445992,-2.7148507,-1.4804307,-2.1097589,0.40784034,2.9502838,-4.5251913,-1.4123546,4.9239144,1.9812818,-0.31923297,4.1668572,-4.188036,-5.0276103,-4.2956624,2.3086598,-3.5205731,2.1665418,4.257811,2.5946658,0.86448544,-3.4282417,-3.2194252,2.7422342,3.3423247,3.119097,-0.3061242,-0.360522,1.2781183,-0.16421813,0.9696409,0.9242003,0.1230098,0.80316716,-0.040588796,-0.052448176,-0.53172165,0.903628,-0.08525169,-0.20902233,0.10727795,-0.19880158,-0.17496204
17,2.2613866,-2.6029065,-1.3802147,0.006066741,-1.8880372,-1.8866363,-1.4210905,-1.8467045,-5.2604747,6.3892875,2.8376715,2.2442567,5.0204477,6.4154525,-3.9579246,-1.2560265,0.35533032,-2.9474695,4.282655,1.9148561,-1.8374245,-0.6114123,-3.0727308,-1.672921,-2.30205,0.35443377,3.4519978,-5.1754894,-1.727577,5.5407495,2.2782183,-0.3480205,4.689657,-4.8212614,-5.541517,-4.7924314,2.5607436,-3.844956,2.549803,4.7344527,2.9663317,1.0577176,-3.7740188,-3.553487,2.9702868,3.7762263,3.6087928,-0.42305267,-0.3473571,1.5456407,-0.3186743,1.2497159,0.78433347,0.1015428,1.0201526,0.087250695,-0.041314512,-0.5585898,0.54028666,-0.03294289,-0.27610126,0.23094285,-0.12288579,0.15689063
18,1.8160731,-2.138318,-1.2331085,-0.17872731,-1.7502882,-1.4203407,-1.2506315,-1.5679096,-4.387166,5.1433477,2.2845569,1.685619,3.986024,5.171001,-3.3140864,-1.1595454,0.28047463,-2.3661077,3.4626977,1.5450796,-1.4691932,-0.65280676,-2.4704351,-1.2839842,-1.911631,0.30863792,2.7055643,-4.228252,-1.3717374,4.503942,1.7594621,-0.34981915,3.7754354,-3.8492491,-4.6420913,-3.954833,2.1165605,-3.2822285,1.8479109,3.810889,2.305713,0.78757477,-3.1447513,-2.8642144,2.475667,3.066956,2.8233154,-0.32925242,-0.30953878,1.0989236,-0.19376528,0.9029594,0.79877067,0.18259943,0.7419365,-0.0016279668,-0.11306746,-0.52827775,0.7353126,-0.3516618,-0.21104676,0.09362184,-0.25737238,0.009975016
19,0.055561773,-0.2302987,-0.3118973,0.00788036,-0.31679258,-0.18952385,-0.29200548,-0.25556874,-0.5734611,0.52669805,0.32369727,0.09022612,0.37397844,0.5415443,-0.47319886,-0.1635072,0.04149387,-0.10991516,0.27327257,0.06887875,-0.28808162,0.67665815,-0.26404086,-0.1085777,-0.12466197,0.068058535,0.2961191,-0.41076702,0.12642235,0.4948926,0.26379138,-0.20188902,0.34539062,-0.35217768,-0.7572447,-0.67827266,0.27622992,-0.41652298,-0.1731456,0.20020509,0.07429583,-0.13980694,-0.5614171,-0.35400525,0.18923785,0.23414147,0.28504834,-0.0010509342,-0.109721035,-0.27442977,-0.2942981,-0.1336649,1.2393808,-0.09858981,-0.13016817,-0.115472496,-0.108487085,-0.27328622,0.62636846,0.21723883,-0.15913802,-0.12887344,-0.49306,-0.03166835
