,0
735,ZNF146
736,BCS1L
737,SLBP
738,WDR77
739,CHCHD1
740,RPA3
741,CARHSP1
742,SALL1
743,CA4
744,MEIS3
745,XXYLT1
746,CRTAC1
747,MCOLN1
748,HSD17B4
749,STRN4
750,TMPRSS3
751,KLF16
752,ARSE
753,TSPAN3
754,VPS36
755,SLC9A7
756,DUSP4
757,ID4
758,PARP16
759,PAWR
760,CRTAP
761,ARFGAP1
762,THRSP
763,LRP1
764,SLC25A5
765,KLC4
766,PIGC
767,S100B
768,ADAM8
769,TSPAN18
770,PTPMT1
771,KLHL9
772,ENO1
773,DGKQ
774,SLC2A6
775,VHL
776,HMGCS2
777,KMT2E
778,ASAP3
779,PDK1
780,IRF4
781,ATP8B2
782,TMEM167A
783,SLAMF7
784,KLF4
785,NAV2
786,ACBD5
787,DGCR2
788,ENO2
789,SEPT7
790,KIAA2013
791,AGPAT1
792,CHMP1A
793,PXMP2
794,HTR1D
795,LIN28B
796,SLC39A11
797,GANAB
798,GLP1R
799,NOL3
800,MORC2
801,ALOX5AP
802,CLMP
803,TREM1
804,HMGCL
805,SRRM2
806,CSF1
807,MFSD12
808,FLT1
809,LGALS8
810,IFITM1
811,RAI14
812,GLT8D2
813,IRF2BPL
814,MYO1D
815,TMEM182
816,PC
817,MSL1
818,FOXG1
819,DCAF13
820,SHROOM3
821,F11
822,HK1
823,IGFN1
824,CDC42SE2
825,FKBP10
826,VARS2
827,CCDC61
828,ATP1A1
829,PROC
830,RRP9
831,RHBDF2
832,CBX1
833,PLOD3
834,GALM
835,ACADSB
836,ILF3
837,HLA-A
838,FASTK
839,HTRA3
840,PLAGL2
841,CAMKK2
842,MFSD9
843,DARS2
844,ATF7IP2
845,SLC27A4
846,ASIC1
847,CCDC51
848,RRAGD
849,VPS9D1
850,TMEM179B
851,TAF8
852,FABP5
853,S100A6
854,RTCA
855,KIAA1217
856,LIPE
857,ARMC10
858,TWF1
859,PCGF5
860,DRAP1
861,TMPRSS4
862,PZP
863,COL26A1
864,SEPT8
865,LRFN4
866,COL8A2
867,SLK
868,PTPRM
869,PTAFR
870,EMD
871,MRPS16
872,FABP7
873,DNMT1
874,GOLGA2
875,ZNF652
876,P2RX2
877,SUPT16H
878,NRP2
879,F11R
880,LGALS7B
881,GJA5
882,TJP2
883,ABCG2
884,BRAP
885,SLC7A1
886,DLGAP5
887,NUP210
888,TYSND1
889,ALDH5A1
890,FGF20
891,HEYL
892,SCFD1
893,ADAM9
894,CCND3
895,FECH
896,SIRT1
897,FUT4
898,RCC1
899,RNF125
900,CBX4
901,ZKSCAN3
902,ATP6V0D1
903,PON3
904,SECTM1
905,MAD1L1
906,NDUFA5
907,SEC61B
908,LANCL2
909,S100A8
910,NDUFB2
911,NT5C3A
912,CKAP2
913,SLC44A2
914,LPIN2
915,CDCA8
916,LPAR2
917,FADD
918,PTPN18
919,GOLPH3L
920,C9
921,CPSF3
922,ESYT1
923,PARD3
924,MRPL37
925,PPP3R1
926,PIK3R3
927,IGKV3-20
928,TCF7L1
929,WDR45B
930,FHIT
931,VCAM1
932,RAB3GAP2
933,GPC6
934,TCTA
935,GLYAT
936,CD24
937,CTSC
938,GP2
939,TBCEL
940,BMP2
941,MOGAT3
942,GPHN
943,WTAP
944,DNAAF2
945,MTIF2
946,ATMIN
947,BLOC1S3
948,SMOC1
949,MBTPS1
950,DDT
951,PAF1
952,NEIL2
953,CXCL1
954,REG1A
955,CUL1
956,SPCS1
957,NKTR
958,DERL1
959,SIRT2
960,TOR1A
961,GINM1
962,ITIH5
963,KIN
964,SNRNP48
965,MAB21L2
966,GORASP2
967,PHC2
968,RELB
969,USP4
970,RACGAP1
971,CLDN1
972,NAT14
973,LPCAT1
974,F2RL3
975,SEMA3C
976,CD207
977,HLA-DRA
978,VWA8
979,ITIH2
980,NARS2
981,PPIC
982,EFHD1
983,CACNG1
984,ELP4
985,FOLR1
986,BET1
987,MSH6
988,PRRX2
989,DTX1
990,OPA3
991,MIDN
992,TNFRSF13C
993,RPL14
994,CDCA7
995,LRPAP1
996,CHMP6
997,VMP1
998,ZKSCAN8
999,DNAL4
1000,SCD
1001,TRAPPC2L
1002,MEA1
1003,LMNB1
1004,PTX3
1005,CCL25
1006,CD200
1007,FTCD
1008,MMP15
1009,SLC25A28
1010,SNAPC5
1011,QKI
1012,UBE4A
1013,TRIM16
1014,VASP
1015,PRKX
1016,POLR2G
1017,PSPH
1018,CENPQ
1019,AMBRA1
1020,USP25
1021,PRCC
1022,NUCB1
1023,EXOC2
1024,MAT1A
1025,RPL34
1026,CADPS2
1027,WNT3A
1028,KCNF1
1029,HIF3A
1030,RAB11FIP1
1031,NET1
1032,SKAP1
1033,INPP5K
1034,FNDC5
1035,IGFBP2
1036,SBDS
1037,LANCL1
1038,TNFRSF17
1039,MEAF6
1040,CXCL16
1041,SNRPN
1042,FUT2
1043,CHIT1
1044,DYNC1I1
1045,NONO
1046,PROCR
1047,RASSF7
1048,IFT57
1049,TNFSF12
1050,RNF151
1051,GYPC
1052,TMEM51
1053,GARS
1054,EVA1A
1055,NDUFB6
1056,HIPK1
1057,PWP1
1058,CD70
1059,BTN3A1
1060,SWI5
1061,RASEF
1062,SGSM3
1063,CC2D1B
1064,DYNLL2
1065,RASSF1
1066,MED22
1067,RPAP1
1068,ZC3HC1
1069,TRMT112
1070,FOXA3
1071,F2RL1
1072,FGFR1
1073,COMMD4
1074,CNTFR
1075,DHODH
1076,DDX56
1077,PPCDC
1078,UBAP2L
1079,SLC48A1
1080,IQGAP1
1081,FEM1C
1082,PCOLCE
1083,TFPI2
1084,PCK1
1085,MRC1
1086,MAPK13
1087,TRADD
1088,POLR2E
1089,GNPDA1
1090,CFTR
1091,IFIT1
1092,IQSEC1
1093,SLC30A2
1094,RPL32
1095,F10
1096,LRRC8D
1097,BNIP2
1098,LDLR
1099,BOK
1100,TYMP
1101,KIFAP3
1102,SLC9B2
1103,ITPR1
1104,TMBIM6
1105,NQO2
1106,BTD
1107,PML
1108,DPP3
1109,SLC39A5
1110,ABCB4
1111,GRINA
1112,ASF1A
1113,AP1G1
1114,SERPINA3
1115,LRRN2
1116,RSL1D1
1117,CD248
1118,GCLC
1119,DHX32
1120,AFAP1L2
1121,FBL
1122,BST2
1123,FGF17
1124,SNX7
1125,RIN1
1126,MKKS
1127,P2RX4
1128,TNPO1
1129,SLC35F6
1130,CSTB
1131,RAP1GAP
1132,AKAP17A
1133,YIF1A
1134,EVL
1135,WNT7A
1136,RNF170
1137,PDK4
1138,PNLDC1
1139,FBP1
1140,ENGASE
1141,PMPCA
1142,EIF2AK4
1143,TNFRSF14
1144,C1orf56
1145,PIGL
1146,CD1A
1147,ATF6B
1148,ATP2B4
1149,PFKL
1150,RAB3GAP1
1151,AKAP1
1152,CCL28
1153,IFT20
1154,ACAD10
1155,SAP30BP
1156,CLDN14
1157,DPYSL2
1158,KPNA6
1159,ALG5
1160,MOCS2
1161,EMC1
1162,UFM1
1163,CYBRD1
1164,TLE1
1165,SEPT4
1166,DMRTB1
1167,IGFBP5
1168,RPL28
1169,TACO1
1170,CDC37
1171,PHF11
1172,UROS
1173,KRT5
1174,NUP214
1175,PRKCSH
1176,TMEM45B
1177,LAMP5
1178,KCTD14
